snapshot_date,forecast_date,queue,demand
03/06/2026,11/01/2027,complaints,4139
03/06/2026,18/01/2027,complaints,3772
03/06/2026,25/01/2027,complaints,3720
03/06/2026,01/02/2027,complaints,3828
03/06/2026,08/02/2027,complaints,3695
03/06/2026,15/02/2027,complaints,4297
03/06/2026,22/02/2027,complaints,3727
03/06/2026,01/03/2027,complaints,3838
03/06/2026,08/03/2027,complaints,3787
03/06/2026,15/03/2027,complaints,3812
03/06/2026,22/03/2027,complaints,4085
03/06/2026,29/03/2027,complaints,4099
03/06/2026,05/04/2027,complaints,4588
03/06/2026,12/04/2027,complaints,4067
03/06/2026,19/04/2027,complaints,4234
03/06/2026,26/04/2027,complaints,3634
03/06/2026,04/05/2026,retentions,5594
03/06/2026,11/05/2026,retentions,5653
03/06/2026,18/05/2026,retentions,5964
03/06/2026,25/05/2026,retentions,5526
03/06/2026,01/06/2026,retentions,5379
03/06/2026,08/06/2026,retentions,5854
03/06/2026,15/06/2026,retentions,5496
03/06/2026,22/06/2026,retentions,5459
03/06/2026,29/06/2026,retentions,5398
03/06/2026,06/07/2026,retentions,5492
03/06/2026,13/07/2026,retentions,5175
03/06/2026,20/07/2026,retentions,4824
03/06/2026,27/07/2026,retentions,5090
03/06/2026,03/08/2026,retentions,5091
03/06/2026,10/08/2026,retentions,5505
03/06/2026,17/08/2026,retentions,6187
03/06/2026,24/08/2026,retentions,5789
03/06/2026,31/08/2026,retentions,5811
03/06/2026,07/09/2026,retentions,5387
03/06/2026,14/09/2026,retentions,5296
03/06/2026,21/09/2026,retentions,5061
03/06/2026,28/09/2026,retentions,5588
03/06/2026,05/10/2026,retentions,5789
03/06/2026,12/10/2026,retentions,5715
03/06/2026,19/10/2026,retentions,5743
03/06/2026,26/10/2026,retentions,5617
03/06/2026,02/11/2026,retentions,5359
03/06/2026,09/11/2026,retentions,5447
03/06/2026,16/11/2026,retentions,5737
03/06/2026,23/11/2026,retentions,6023
03/06/2026,30/11/2026,retentions,6702
03/06/2026,07/12/2026,retentions,6923
03/06/2026,14/12/2026,retentions,6734
03/06/2026,21/12/2026,retentions,5957
03/06/2026,28/12/2026,retentions,5533
03/06/2026,04/01/2027,retentions,5656
03/06/2026,11/01/2027,retentions,5758
03/06/2026,18/01/2027,retentions,6050
03/06/2026,25/01/2027,retentions,6005
03/06/2026,01/02/2027,retentions,5774
03/06/2026,08/02/2027,retentions,5372
03/06/2026,15/02/2027,retentions,5698
03/06/2026,22/02/2027,retentions,5680
03/06/2026,01/03/2027,retentions,5676
03/06/2026,08/03/2027,retentions,5702
03/06/2026,15/03/2027,retentions,5677
03/06/2026,22/03/2027,retentions,5436
03/06/2026,29/03/2027,retentions,5531
03/06/2026,05/04/2027,retentions,5554
03/06/2026,12/04/2027,retentions,5814
03/06/2026,19/04/2027,retentions,5936
03/06/2026,26/04/2027,retentions,5644
03/06/2026,04/05/2026,sales,10008
03/06/2026,11/05/2026,sales,10972
03/06/2026,18/05/2026,sales,10453
03/06/2026,25/05/2026,sales,10272
03/06/2026,01/06/2026,sales,10718
03/06/2026,08/06/2026,sales,11176
03/06/2026,15/06/2026,sales,10698
03/06/2026,22/06/2026,sales,10244
03/06/2026,29/06/2026,sales,10246
03/06/2026,06/07/2026,sales,9355
03/06/2026,13/07/2026,sales,9321
03/06/2026,20/07/2026,sales,11060
03/06/2026,27/07/2026,sales,10914
03/06/2026,03/08/2026,sales,11150
03/06/2026,10/08/2026,sales,10753
03/06/2026,17/08/2026,sales,10800
03/06/2026,24/08/2026,sales,10738
03/06/2026,31/08/2026,sales,11002
03/06/2026,07/09/2026,sales,10981
03/06/2026,14/09/2026,sales,10580
03/06/2026,21/09/2026,sales,10551
03/06/2026,28/09/2026,sales,10708
03/06/2026,05/10/2026,sales,9920
03/06/2026,12/10/2026,sales,11482
03/06/2026,19/10/2026,sales,11802
03/06/2026,26/10/2026,sales,12584
03/06/2026,02/11/2026,sales,12732
03/06/2026,09/11/2026,sales,13653
03/06/2026,16/11/2026,sales,13554
03/06/2026,23/11/2026,sales,13340
03/06/2026,30/11/2026,sales,13772
03/06/2026,07/12/2026,sales,13200
03/06/2026,14/12/2026,sales,12906
03/06/2026,21/12/2026,sales,12291
03/06/2026,28/12/2026,sales,11273
03/06/2026,04/01/2027,sales,10523
03/06/2026,11/01/2027,sales,12087
03/06/2026,18/01/2027,sales,12479
03/06/2026,25/01/2027,sales,12493
03/06/2026,01/02/2027,sales,12152
03/06/2026,08/02/2027,sales,11573
03/06/2026,15/02/2027,sales,11829
03/06/2026,22/02/2027,sales,10980
03/06/2026,01/03/2027,sales,10776
03/06/2026,08/03/2027,sales,10663
03/06/2026,15/03/2027,sales,11629
03/06/2026,22/03/2027,sales,12250
03/06/2026,29/03/2027,sales,12773
03/06/2026,05/04/2027,sales,11415
03/06/2026,12/04/2027,sales,12474
03/06/2026,19/04/2027,sales,10943
03/06/2026,26/04/2027,sales,11638
03/06/2026,04/05/2026,billing,15103
03/06/2026,11/05/2026,billing,16006
03/06/2026,18/05/2026,billing,17117
03/06/2026,25/05/2026,billing,16330
03/06/2026,01/06/2026,billing,15195
03/06/2026,08/06/2026,billing,13898
03/06/2026,15/06/2026,billing,15985
03/06/2026,22/06/2026,billing,14739
03/06/2026,29/06/2026,billing,16625
03/06/2026,06/07/2026,billing,17729
03/06/2026,13/07/2026,billing,14137
03/06/2026,20/07/2026,billing,12487
03/06/2026,27/07/2026,billing,11971
03/06/2026,03/08/2026,billing,12771
03/06/2026,10/08/2026,billing,13877
03/06/2026,17/08/2026,billing,16528
03/06/2026,24/08/2026,billing,16154
03/06/2026,31/08/2026,billing,17002
03/06/2026,07/09/2026,billing,15491
03/06/2026,14/09/2026,billing,16039
03/06/2026,21/09/2026,billing,13752
03/06/2026,28/09/2026,billing,15444
03/06/2026,05/10/2026,billing,14769
03/06/2026,12/10/2026,billing,15446
03/06/2026,19/10/2026,billing,15817
03/06/2026,26/10/2026,billing,15314
03/06/2026,02/11/2026,billing,13897
03/06/2026,09/11/2026,billing,15063
03/06/2026,16/11/2026,billing,17253
03/06/2026,23/11/2026,billing,16460
03/06/2026,30/11/2026,billing,19220
03/06/2026,07/12/2026,billing,17986
03/06/2026,14/12/2026,billing,18209
03/06/2026,21/12/2026,billing,15975
03/06/2026,28/12/2026,billing,16562
03/06/2026,04/01/2027,billing,16365
03/06/2026,11/01/2027,billing,17945
03/06/2026,18/01/2027,billing,17273
03/06/2026,25/01/2027,billing,15294
03/06/2026,01/02/2027,billing,15339
03/06/2026,08/02/2027,billing,16234
03/06/2026,15/02/2027,billing,16059
03/06/2026,22/02/2027,billing,14764
03/06/2026,01/03/2027,billing,17811
03/06/2026,08/03/2027,billing,15906
03/06/2026,15/03/2027,billing,15464
03/06/2026,22/03/2027,billing,15182
03/06/2026,29/03/2027,billing,15708
03/06/2026,05/04/2027,billing,14969
03/06/2026,12/04/2027,billing,14927
03/06/2026,19/04/2027,billing,14698
03/06/2026,26/04/2027,billing,15718
03/06/2026,04/05/2026,complaints,3982
03/06/2026,11/05/2026,complaints,3763
03/06/2026,18/05/2026,complaints,3561
03/06/2026,25/05/2026,complaints,3361
03/06/2026,01/06/2026,complaints,3569
03/06/2026,08/06/2026,complaints,3719
03/06/2026,15/06/2026,complaints,3692
03/06/2026,22/06/2026,complaints,3847
03/06/2026,29/06/2026,complaints,4445
03/06/2026,06/07/2026,complaints,3967
03/06/2026,13/07/2026,complaints,3225
03/06/2026,20/07/2026,complaints,3198
03/06/2026,27/07/2026,complaints,3373
03/06/2026,03/08/2026,complaints,3621
03/06/2026,10/08/2026,complaints,3408
03/06/2026,17/08/2026,complaints,3337
03/06/2026,24/08/2026,complaints,3394
03/06/2026,31/08/2026,complaints,3700
03/06/2026,07/09/2026,complaints,4034
03/06/2026,14/09/2026,complaints,3499
03/06/2026,21/09/2026,complaints,3854
03/06/2026,28/09/2026,complaints,4079
03/06/2026,05/10/2026,complaints,4229
03/06/2026,12/10/2026,complaints,4197
03/06/2026,19/10/2026,complaints,4800
03/06/2026,26/10/2026,complaints,4178
03/06/2026,02/11/2026,complaints,4061
03/06/2026,09/11/2026,complaints,3764
03/06/2026,16/11/2026,complaints,4824
03/06/2026,23/11/2026,complaints,4092
03/06/2026,30/11/2026,complaints,4395
03/06/2026,07/12/2026,complaints,4356
03/06/2026,14/12/2026,complaints,4479
03/06/2026,21/12/2026,complaints,4213
03/06/2026,28/12/2026,complaints,4050
03/06/2026,04/01/2027,complaints,4421
03/06/2026,11/01/2027,complaints,4233
03/06/2026,18/01/2027,complaints,3589
03/06/2026,25/01/2027,complaints,3977
03/06/2026,01/02/2027,complaints,3454
03/06/2026,08/02/2027,complaints,3646
03/06/2026,15/02/2027,complaints,3796
03/06/2026,22/02/2027,complaints,3951
03/06/2026,01/03/2027,complaints,3704
03/06/2026,08/03/2027,complaints,4026
03/06/2026,15/03/2027,complaints,4289
03/06/2026,22/03/2027,complaints,3749
03/06/2026,29/03/2027,complaints,4238
03/06/2026,05/04/2027,complaints,4525
03/06/2026,12/04/2027,complaints,4336
03/06/2026,19/04/2027,complaints,3822
03/06/2026,26/04/2027,complaints,3798
03/06/2026,04/05/2026,retentions,5286
03/06/2026,11/05/2026,retentions,5636
03/06/2026,18/05/2026,retentions,5955
03/06/2026,25/05/2026,retentions,5694
03/06/2026,01/06/2026,retentions,5659
03/06/2026,08/06/2026,retentions,5370
03/06/2026,15/06/2026,retentions,5637
03/06/2026,22/06/2026,retentions,5632
03/06/2026,29/06/2026,retentions,5364
03/06/2026,06/07/2026,retentions,5407
03/06/2026,13/07/2026,retentions,4965
03/06/2026,20/07/2026,retentions,5019
03/06/2026,27/07/2026,retentions,5065
03/06/2026,03/08/2026,retentions,5024
03/06/2026,10/08/2026,retentions,5529
03/06/2026,17/08/2026,retentions,6462
03/06/2026,24/08/2026,retentions,6233
03/06/2026,31/08/2026,retentions,5824
03/06/2026,07/09/2026,retentions,5116
03/06/2026,14/09/2026,retentions,5244
03/06/2026,21/09/2026,retentions,5215
03/06/2026,28/09/2026,retentions,5672
03/06/2026,05/10/2026,retentions,5676
03/06/2026,12/10/2026,retentions,5914
03/06/2026,19/10/2026,retentions,5607
03/06/2026,26/10/2026,retentions,5466
03/06/2026,02/11/2026,retentions,5238
03/06/2026,09/11/2026,retentions,5397
03/06/2026,16/11/2026,retentions,5659
03/06/2026,23/11/2026,retentions,5886
03/06/2026,30/11/2026,retentions,7016
03/06/2026,07/12/2026,retentions,6966
03/06/2026,14/12/2026,retentions,6650
03/06/2026,21/12/2026,retentions,5628
03/06/2026,28/12/2026,retentions,5947
03/06/2026,04/01/2027,retentions,5494
03/06/2026,11/01/2027,retentions,5999
03/06/2026,18/01/2027,retentions,6223
03/06/2026,25/01/2027,retentions,5680
03/06/2026,01/02/2027,retentions,5732
03/06/2026,08/02/2027,retentions,5534
03/06/2026,15/02/2027,retentions,5874
03/06/2026,22/02/2027,retentions,5693
03/06/2026,01/03/2027,retentions,6002
03/06/2026,08/03/2027,retentions,5619
03/06/2026,15/03/2027,retentions,5486
03/06/2026,22/03/2027,retentions,5455
03/06/2026,29/03/2027,retentions,5407
03/06/2026,05/04/2027,retentions,5797
03/06/2026,12/04/2027,retentions,5662
03/06/2026,19/04/2027,retentions,5918
03/06/2026,26/04/2027,retentions,5618
03/06/2026,04/05/2026,sales,10652
03/06/2026,11/05/2026,sales,12584
03/06/2026,18/05/2026,sales,9918
03/06/2026,25/05/2026,sales,10025
03/06/2026,01/06/2026,sales,10722
03/06/2026,08/06/2026,sales,9732
03/06/2026,15/06/2026,sales,11292
03/06/2026,22/06/2026,sales,10389
03/06/2026,29/06/2026,sales,9005
03/06/2026,06/07/2026,sales,9876
03/06/2026,13/07/2026,sales,10107
03/06/2026,20/07/2026,sales,10744
03/06/2026,27/07/2026,sales,11310
03/06/2026,03/08/2026,sales,10319
03/06/2026,10/08/2026,sales,11355
03/06/2026,17/08/2026,sales,11420
03/06/2026,24/08/2026,sales,11494
03/06/2026,31/08/2026,sales,10456
03/06/2026,07/09/2026,sales,10608
03/06/2026,14/09/2026,sales,10660
03/06/2026,21/09/2026,sales,10610
03/06/2026,28/09/2026,sales,9424
03/06/2026,05/10/2026,sales,9495
03/06/2026,12/10/2026,sales,11331
03/06/2026,19/10/2026,sales,12389
03/06/2026,26/10/2026,sales,11423
03/06/2026,02/11/2026,sales,14180
03/06/2026,09/11/2026,sales,15132
03/06/2026,16/11/2026,sales,13821
03/06/2026,23/11/2026,sales,12395
03/06/2026,30/11/2026,sales,14152
03/06/2026,07/12/2026,sales,13842
03/06/2026,14/12/2026,sales,13402
03/06/2026,21/12/2026,sales,11839
03/06/2026,28/12/2026,sales,10877
03/06/2026,04/01/2027,sales,11907
03/06/2026,11/01/2027,sales,11631
03/06/2026,18/01/2027,sales,12343
03/06/2026,25/01/2027,sales,12148
03/06/2026,01/02/2027,sales,12660
03/06/2026,08/02/2027,sales,11532
03/06/2026,15/02/2027,sales,12314
03/06/2026,22/02/2027,sales,11066
03/06/2026,01/03/2027,sales,10509
03/06/2026,08/03/2027,sales,10777
03/06/2026,15/03/2027,sales,11184
03/06/2026,22/03/2027,sales,12302
03/06/2026,29/03/2027,sales,12666
03/06/2026,05/04/2027,sales,12090
03/06/2026,12/04/2027,sales,11712
03/06/2026,19/04/2027,sales,11811
03/06/2026,26/04/2027,sales,11744
03/06/2026,04/05/2026,billing,15607
03/06/2026,11/05/2026,billing,15927
03/06/2026,18/05/2026,billing,16923
03/06/2026,25/05/2026,billing,15912
03/06/2026,01/06/2026,billing,15573
03/06/2026,08/06/2026,billing,14860
03/06/2026,15/06/2026,billing,15098
03/06/2026,22/06/2026,billing,15400
03/06/2026,29/06/2026,billing,17390
03/06/2026,06/07/2026,billing,15869
03/06/2026,13/07/2026,billing,14533
03/06/2026,20/07/2026,billing,12495
03/06/2026,27/07/2026,billing,12780
03/06/2026,03/08/2026,billing,13429
03/06/2026,10/08/2026,billing,15536
03/06/2026,17/08/2026,billing,15626
03/06/2026,24/08/2026,billing,15425
03/06/2026,31/08/2026,billing,15763
03/06/2026,07/09/2026,billing,15246
03/06/2026,14/09/2026,billing,15452
03/06/2026,21/09/2026,billing,14847
03/06/2026,28/09/2026,billing,14828
03/06/2026,05/10/2026,billing,14614
03/06/2026,12/10/2026,billing,15339
03/06/2026,19/10/2026,billing,15110
03/06/2026,26/10/2026,billing,15740
03/06/2026,02/11/2026,billing,15098
03/06/2026,09/11/2026,billing,15008
03/06/2026,16/11/2026,billing,15886
03/06/2026,23/11/2026,billing,17203
03/06/2026,30/11/2026,billing,18729
03/06/2026,07/12/2026,billing,18211
03/06/2026,14/12/2026,billing,17457
03/06/2026,21/12/2026,billing,16081
03/06/2026,28/12/2026,billing,16411
03/06/2026,04/01/2027,billing,16747
03/06/2026,11/01/2027,billing,17453
03/06/2026,18/01/2027,billing,17207
03/06/2026,25/01/2027,billing,16082
03/06/2026,01/02/2027,billing,15174
03/06/2026,08/02/2027,billing,14863
03/06/2026,15/02/2027,billing,15638
03/06/2026,22/02/2027,billing,15892
03/06/2026,01/03/2027,billing,15666
03/06/2026,08/03/2027,billing,15275
03/06/2026,15/03/2027,billing,15628
03/06/2026,22/03/2027,billing,15170
03/06/2026,29/03/2027,billing,15460
03/06/2026,05/04/2027,billing,15292
03/06/2026,12/04/2027,billing,15848
03/06/2026,19/04/2027,billing,15461
03/06/2026,26/04/2027,billing,15873
03/06/2026,04/05/2026,complaints,4170
03/06/2026,11/05/2026,complaints,3498
03/06/2026,18/05/2026,complaints,3494
03/06/2026,25/05/2026,complaints,3300
03/06/2026,01/06/2026,complaints,3518
03/06/2026,08/06/2026,complaints,3603
