date,date_display,upper_bound,lower_bound,queue,demand,default_aht,default_occupancy,default_shrinkage,default_contracted_hours,default_opening_fte,work_type,concurrency,weekly_open_hours,target_service_level,target_answer_seconds,default_attrition,aht_seconds,occupancy,shrinkage,contracted_hours_per_week,base_layer,growth_layer,seasonality_layer,transformation_layer,operational_layer,resolved_forecast,resolved_demand,budgeted_fte,ai_deflection,demand_change,productivity_gain,aht_change,occupancy_change,shrinkage_change,effective_aht,effective_productive_hours,workload_hours,net_requirement,gross_requirement,average_interval_volume,erlang_uplift,available_supply,new_hires,manual_attrition,structural_attrition,total_attrition,attrition,productive_supply,fte_gap,budget_variance,requirement_vs_budget,repeat_demand,snapshot_date,budget_fte,budgeted_fte_new
13/07/2026,13/07/2026,15419,13080,billing,14249,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14249.0,14386.009615384615,14386.009615384615,12789.162548076923,12149.704420673075,12149.704420673075,12149.704420673075,140.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1113.72,73.05,73.05,72.31966917067308,1.809631954200732,97.0,0.0,0.0,0.0,0.0,0.0,97.0,23.95,-43.7,67.65,0.0,03/06/2026 16:51:47,,
20/07/2026,20/07/2026,14512,12173,billing,13342,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,13342.0,13483.117307692308,13483.117307692308,11905.592582692308,11310.312953557692,11310.312953557692,11310.312953557692,137.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1036.78,68.38,68.38,67.32329139022436,1.8196404468440128,96.0,0.0,0.0,1.0,1.0,1.0,96.0,27.62,-41.7,69.32,0.0,03/06/2026 16:51:47,,
27/07/2026,27/07/2026,13171,10832,billing,12002,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,12002.0,12140.484615384616,12140.484615384616,10647.205007692308,10114.844757307692,10114.844757307692,10114.844757307692,130.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,927.19,61.7,61.7,60.20740926968864,1.8359915564031193,116.0,20.0,0.0,0.0,0.0,0.0,100.0,38.3,-14.7,69.0,0.0,03/06/2026 16:51:47,,
03/08/2026,03/08/2026,14669,12330,billing,13500,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,13500.0,13668.75,13668.75,11891.8125,11297.221875,11297.221875,11297.221875,141.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1035.58,68.31,68.31,67.24536830357142,1.819805317979302,116.0,0.0,0.0,0.0,0.0,0.0,105.0,36.69,-25.3,72.99,0.0,03/06/2026 16:51:47,,
10/08/2026,10/08/2026,15545,13206,billing,14375,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14375.0,14568.509615384615,14568.509615384615,12572.623798076924,11943.992608173075,11943.992608173075,11943.992608173075,135.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1094.87,71.91,71.91,71.09519409626832,1.8119868558407568,115.0,0.0,0.0,1.0,1.0,1.0,107.0,35.09,-20.6,63.69,0.0,03/06/2026 16:51:47,,
17/08/2026,17/08/2026,17009,14670,billing,15839,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15839.0,16067.447115384615,16067.447115384615,13769.802177884616,13081.312068990384,13081.312068990384,13081.312068990384,134.5,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1199.12,78.22,78.22,77.86495279160943,1.7996721652489427,115.0,0.0,0.0,0.0,0.0,0.0,109.4,31.18,-19.5,56.28,0.0,03/06/2026 16:51:47,,
24/08/2026,24/08/2026,16340,14001,billing,15170,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15170.0,15403.384615384615,15403.384615384615,13092.876923076925,12438.233076923076,12438.233076923076,12438.233076923076,139.0,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1140.17,74.65,74.65,74.03710164835164,1.806427957187059,114.0,0.0,0.0,1.0,1.0,1.0,110.4,35.75,-25.0,64.35,0.0,03/06/2026 16:51:47,,
31/08/2026,31/08/2026,17342,15004,billing,16173,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16173.0,16437.366346153845,16437.366346153845,13873.137196153846,13179.480336346152,13179.480336346152,13179.480336346152,147.7,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1208.12,78.76,78.76,78.44928771634615,1.798684608410988,114.0,0.0,0.0,0.0,0.0,0.0,112.0,33.24,-33.7,68.94,0.0,03/06/2026 16:51:47,,
07/09/2026,07/09/2026,16634,14295,billing,15465,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15465.0,15732.66346153846,15732.66346153846,13183.97198076923,13183.97198076923,13183.97198076923,13183.97198076923,137.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1208.53,78.79,78.79,78.47602369505495,1.7986396872599093,114.0,0.0,0.0,0.0,0.0,0.0,113.2,34.41,-23.3,58.51,0.0,03/06/2026 16:51:47,,
14/09/2026,14/09/2026,17101,14762,billing,15931,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15931.0,16222.047115384614,16222.047115384614,13480.521152884614,13480.521152884614,13480.521152884614,13480.521152884614,144.5,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1235.71,80.43,80.43,80.2411973385989,1.7957237430301431,113.0,0.0,0.0,1.0,1.0,1.0,113.0,32.57,-31.5,64.07,0.0,03/06/2026 16:51:47,,
21/09/2026,21/09/2026,15982,13643,billing,14812,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14812.0,15096.846153846152,15096.846153846152,12439.80123076923,12439.80123076923,12439.80123076923,12439.80123076923,142.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1140.32,74.66,74.66,74.04643589743588,1.8064108486255164,113.0,0.0,0.0,0.0,0.0,0.0,113.0,38.34,-29.6,67.94,0.0,03/06/2026 16:51:47,,
28/09/2026,28/09/2026,16350,14012,billing,15181,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15181.0,15487.539423076922,15487.539423076922,12668.807248076922,12668.807248076922,12668.807248076922,12668.807248076922,146.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1161.31,75.93,75.93,75.40956695283883,1.8039466005366336,113.0,0.0,0.0,0.0,0.0,0.0,113.0,37.07,-33.6,70.67,0.0,03/06/2026 16:51:47,,
05/10/2026,05/10/2026,15973,13634,billing,14803,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14803.0,15116.140384615384,15116.140384615384,12259.189851923078,12259.189851923078,12259.189851923078,12259.189851923078,132.1,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1123.76,73.66,73.66,72.9713681662088,1.8084028504146807,112.0,0.0,0.0,1.0,1.0,1.0,112.0,38.34,-20.1,58.44,0.0,03/06/2026 16:51:47,,
12/10/2026,12/10/2026,16379,14041,billing,15210,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15210.0,15546.374999999998,15546.374999999998,12514.831874999998,12514.831874999998,12514.831874999998,12514.831874999998,137.1,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1147.19,75.08,75.08,74.49304687499999,1.805596025648728,112.0,0.0,0.0,0.0,0.0,0.0,112.0,36.92,-25.1,62.02,0.0,03/06/2026 16:51:47,,
19/10/2026,19/10/2026,16709,14370,billing,15539,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15539.0,15897.592307692306,15897.592307692306,12686.27866153846,12686.27866153846,12686.27866153846,12686.27866153846,137.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1162.91,76.03,76.03,75.51356346153845,1.803761341474111,111.0,0.0,0.0,1.0,1.0,1.0,111.0,34.97,-26.6,61.57,0.0,03/06/2026 16:51:47,,
26/10/2026,26/10/2026,16745,14406,billing,15575,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15575.0,15949.399038461535,15949.399038461535,12631.924038461537,12631.924038461537,12631.924038461537,12631.924038461537,141.8,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1157.93,75.73,75.73,75.19002403846153,1.8043389549966864,111.0,0.0,0.0,0.0,0.0,0.0,111.0,35.27,-30.8,66.07,0.0,03/06/2026 16:51:47,,
02/11/2026,02/11/2026,16133,13795,billing,14964,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14964.0,15338.1,15338.1,12055.7466,12055.7466,12055.7466,12055.7466,134.1,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1105.11,72.53,72.53,71.76039642857143,1.8107000646828508,111.0,0.0,0.0,0.0,0.0,0.0,111.0,38.47,-23.1,61.57,0.0,03/06/2026 16:51:47,,
09/11/2026,09/11/2026,16221,13882,billing,15051,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15051.0,15441.747115384616,15441.747115384616,12029.121002884614,12029.121002884614,12029.121002884614,12029.121002884614,135.3,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1102.67,72.38,72.38,71.60191073145604,1.8110050171942536,110.0,0.0,0.0,1.0,1.0,1.0,110.0,37.62,-25.3,62.92,0.0,03/06/2026 16:51:47,,
16/11/2026,16/11/2026,17166,14828,billing,15997,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15997.0,16427.68846153846,16427.68846153846,12682.17549230769,12682.17549230769,12682.17549230769,12682.17549230769,131.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1162.53,76.0,76.0,75.48913983516482,1.803804815248958,110.0,0.0,0.0,0.0,0.0,0.0,110.0,34.0,-21.2,55.2,0.0,03/06/2026 16:51:47,,
23/11/2026,23/11/2026,18044,15706,billing,16875,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16875.0,17345.552884615383,17345.552884615383,13286.693509615385,13286.693509615385,13286.693509615385,13286.693509615385,139.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1217.95,79.35,79.35,79.08746136675823,1.79761858980539,109.0,0.0,0.0,1.0,1.0,1.0,109.0,29.65,-30.6,60.25,0.0,03/06/2026 16:51:47,,
30/11/2026,30/11/2026,20131,17793,billing,18962,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,18962.0,19508.98076923077,19508.98076923077,14943.879269230769,14943.879269230769,14943.879269230769,14943.879269230769,145.8,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1369.86,88.51,88.51,88.9516623168498,1.782629424503599,109.0,0.0,0.0,0.0,0.0,0.0,109.0,20.49,-36.8,57.29,0.0,03/06/2026 16:51:47,,
07/12/2026,07/12/2026,19449,17111,billing,18280,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,18280.0,18824.884615384613,18824.884615384613,14419.861615384614,14419.861615384614,14419.861615384614,14419.861615384614,132.6,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1321.82,85.62,85.62,85.83250961538461,1.787088699155413,109.0,0.0,0.0,0.0,0.0,0.0,109.0,23.38,-23.6,46.98,0.0,03/06/2026 16:51:47,,
14/12/2026,14/12/2026,18527,16189,billing,17358,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,17358.0,17892.092307692306,17892.092307692306,13705.342707692307,13705.342707692307,13705.342707692307,13705.342707692307,132.2,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1256.32,81.67,81.67,81.57942087912087,1.7935764529118678,108.0,0.0,0.0,1.0,1.0,1.0,108.0,26.33,-24.2,50.53,0.0,03/06/2026 16:51:47,,
21/12/2026,21/12/2026,17569,15230,billing,16400,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16400.0,16920.384615384617,16920.384615384617,12961.014615384616,12961.014615384616,12961.014615384616,12961.014615384616,134.8,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1188.09,77.55,77.55,77.14889652014652,1.800897603617267,108.0,0.0,0.0,0.0,0.0,0.0,108.0,30.45,-26.8,57.25,0.0,03/06/2026 16:51:47,,
28/12/2026,28/12/2026,17731,15392,billing,16562,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16562.0,17103.45,17103.45,13101.2427,13101.2427,13101.2427,13101.2427,131.4,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1200.95,78.33,78.33,77.9835875,1.7994707686665996,108.0,0.0,0.0,0.0,0.0,0.0,108.0,29.67,-23.4,53.07,0.0,03/06/2026 16:51:47,,
04/01/2027,04/01/2027,18090,15751,billing,16921,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16921.0,17490.456730769234,17490.456730769234,13397.689855769231,13397.689855769231,13397.689855769231,13397.689855769231,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1228.12,79.97,79.97,79.74815390338829,1.7965284641933177,107.0,0.0,0.0,1.0,1.0,1.0,107.0,27.03,,,0.0,03/06/2026 16:51:47,,
11/01/2027,11/01/2027,18749,16410,billing,17579,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,17579.0,18187.50384615385,18187.50384615385,13931.627946153849,13931.627946153849,13931.627946153849,13931.627946153849,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1277.07,82.92,82.92,82.92635682234433,1.7914678845459495,107.0,0.0,0.0,0.0,0.0,0.0,107.0,24.08,,,0.0,03/06/2026 16:51:47,,
18/01/2027,18/01/2027,17672,15333,billing,16503,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16503.0,17090.125961538462,17090.125961538462,13091.036486538462,13091.036486538462,13091.036486538462,13091.036486538462,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1200.01,78.27,78.27,77.9228362293956,1.799573843744783,106.0,0.0,0.0,1.0,1.0,1.0,106.0,27.73,,,0.0,03/06/2026 16:51:47,,
25/01/2027,25/01/2027,16910,14572,billing,15741,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15741.0,16316.151923076925,16316.151923076925,12498.172373076924,12498.172373076924,12498.172373076924,12498.172373076924,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1145.67,74.98,74.98,74.39388317307693,1.805776311759243,106.0,0.0,0.0,0.0,0.0,0.0,106.0,31.02,,,0.0,03/06/2026 16:51:47,,
01/02/2027,01/02/2027,16497,14158,billing,15328,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15328.0,15902.8,15902.8,12181.5448,12181.5448,12181.5448,12181.5448,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1116.64,73.23,73.23,72.50919523809524,1.8092727999520024,106.0,0.0,0.0,0.0,0.0,0.0,106.0,32.77,,,0.0,03/06/2026 16:51:47,,
08/02/2027,08/02/2027,16176,13837,billing,15006,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15006.0,15583.153846153848,15583.153846153848,11936.695846153849,11936.695846153849,11936.695846153849,11936.695846153849,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1094.2,71.87,71.87,71.051760989011,1.8120715023132887,105.0,0.0,0.0,1.0,1.0,1.0,105.0,33.13,,,0.0,03/06/2026 16:51:47,,
15/02/2027,15/02/2027,16633,14295,billing,15464,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15464.0,16073.638461538463,16073.638461538463,12312.407061538464,12312.407061538464,12312.407061538464,12312.407061538464,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1128.64,73.95,73.95,73.28813727106228,1.8078113538588512,105.0,0.0,0.0,0.0,0.0,0.0,105.0,31.05,,,0.0,03/06/2026 16:51:47,,
22/02/2027,22/02/2027,16151,13812,billing,14981,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14981.0,15586.001923076925,15586.001923076925,11938.877473076926,11938.877473076926,11938.877473076926,11938.877473076926,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1094.4,71.88,71.88,71.06474686355313,1.8120461861029935,105.0,0.0,0.0,0.0,0.0,0.0,105.0,33.12,,,0.0,03/06/2026 16:51:47,,
01/03/2027,01/03/2027,17799,15460,billing,16630,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,16630.0,17317.58653846154,17317.58653846154,13265.27128846154,13265.27128846154,13265.27128846154,13265.27128846154,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1215.98,79.24,79.24,78.9599481456044,1.797830556975142,104.0,0.0,0.0,1.0,1.0,1.0,104.0,24.76,,,0.0,03/06/2026 16:51:47,,
08/03/2027,08/03/2027,17016,14677,billing,15847,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15847.0,16517.45,16517.45,12652.3667,12652.3667,12652.3667,12652.3667,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1159.8,75.84,75.84,75.31170654761905,1.8041212790842,104.0,0.0,0.0,0.0,0.0,0.0,104.0,28.16,,,0.0,03/06/2026 16:51:47,,
15/03/2027,15/03/2027,16806,14467,billing,15636,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15636.0,16312.557692307691,16312.557692307691,12495.419192307694,12495.419192307694,12495.419192307694,12495.419192307694,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1145.41,74.97,74.97,74.3774951923077,1.8058061408935275,104.0,0.0,0.0,0.0,0.0,0.0,104.0,29.03,,,0.0,03/06/2026 16:51:47,,
22/03/2027,22/03/2027,15883,13544,billing,14713,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14713.0,15363.76730769231,15363.76730769231,11768.64575769231,11768.64575769231,11768.64575769231,11768.64575769231,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1078.79,70.93,70.93,70.0514628434066,1.8140427081710089,103.0,0.0,0.0,1.0,1.0,1.0,103.0,32.07,,,0.0,03/06/2026 16:51:47,,
29/03/2027,29/03/2027,16821,14482,billing,15651,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15651.0,16358.304807692308,16358.304807692308,12530.461482692308,12530.461482692308,12530.461482692308,12530.461482692308,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1148.63,75.16,75.16,74.58608025412089,1.8054272118589036,103.0,0.0,0.0,0.0,0.0,0.0,103.0,27.84,,,0.0,03/06/2026 16:51:47,,
05/04/2027,05/04/2027,16891,14552,billing,15722,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15722.0,16447.63076923077,16447.63076923077,12598.88516923077,12598.88516923077,12598.88516923077,12598.88516923077,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1154.9,75.54,75.54,74.99336410256412,1.804691876233418,102.0,0.0,0.0,1.0,1.0,1.0,102.0,26.46,,,0.0,03/06/2026 16:51:47,,
12/04/2027,12/04/2027,16599,14260,billing,15430,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15430.0,16156.990384615385,16156.990384615385,12376.254634615383,12376.254634615383,12376.254634615383,12376.254634615383,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1134.49,74.31,74.31,73.6681823489011,1.8071067438507389,102.0,0.0,0.0,0.0,0.0,0.0,102.0,27.69,,,0.0,03/06/2026 16:51:47,,
19/04/2027,19/04/2027,16162,13823,billing,14993,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,14993.0,15713.817307692309,15713.817307692309,12036.784057692308,12036.784057692308,12036.784057692308,12036.784057692308,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1103.37,72.42,72.42,71.6475241529304,1.810917145786944,102.0,0.0,0.0,0.0,0.0,0.0,102.0,29.58,,,0.0,03/06/2026 16:51:47,,
26/04/2027,26/04/2027,16823,14484,billing,15653,350,85,27,37.5,100,call,1,84,80,20,18,350,0.91,0.23,37.5,15653.0,16420.59903846154,16420.59903846154,12578.17886346154,12578.17886346154,12578.17886346154,12578.17886346154,,0.15,-0.05,0.05,-20.0,3.0,-2.0,330.0,30.31875,1153.0,75.43,75.43,74.87011228250917,1.8049137694885244,101.0,0.0,0.0,1.0,1.0,1.0,101.0,25.57,,,0.0,03/06/2026 16:51:47,,
04/05/2026,04/05/2026,4498,3801,complaints,4150,760,78,34,37.5,58,call,1,84,90,10,25,760,0.78,0.34,37.5,4150.0,4150.0,4150.0,4004.75,4004.75,4004.75,4004.75,73.8,0.0,0.0,0.0,0.0,0.0,0.0,760.0,24.749999999999996,845.45,77.52,77.52,23.83779761904762,1.7702073909628178,58.0,0.0,0.0,0.0,0.0,0.0,58.0,-19.52,-15.8,-3.72,0.0,03/06/2026 16:51:47,,
11/05/2026,11/05/2026,3860,3163,complaints,3511,760,78,34,37.5,58,call,1,84,90,10,25,760,0.78,0.34,37.5,3511.0,3511.675192307692,3511.675192307692,3371.2081846153847,3371.2081846153847,3371.2081846153847,3447.1123733785566,74.9,0.0,0.0,0.0,0.0,0.0,0.0,760.0,24.749999999999996,711.7,66.31,66.31,20.066715384615385,1.7985510743109605,58.0,0.0,0.0,0.0,0.0,0.0,58.0,-8.31,-16.9,8.59,75.90418876317185,03/06/2026 16:51:47,,
